Count,Asset Material,Asset Diameter,Asset Install Year,BR,LoF Phys,LoF,CoF,Risk,Max CoF Factors,Replace Cost,Asset ID
1,CP,12,1990,1.7,1,1,1,1,"",$6418,39288
1,CP,12,1990,1.7,1,1,1,1,"",$8298,39289
1,CP,12,1990,1.7,1,1,1,1,"",$2009,39302
1,CP,12,1990,1.7,1,1,1,1,"",$6288,39322
1,CP,12,1990,1.7,1,1,1,1,"",$34018,39378
1,CP,12,1990,1.7,1,1,1,1,"",$44875,39382
1,CP,12,1990,1.7,1,1,1,1,"",$28757,39390
1,CP,12,1990,1.7,1,1,1,1,"",$8054,39407
1,CP,12,1990,1.7,1,1,1,1,"",$51736,39440
1,CP,10,1990,1.7,1,1,1,1,"",$3623,39468
1,CP,12,1990,1.7,1,1,1,1,"",$12686,39481
1,CP,12,1990,1.7,1,1,1,1,"",$18767,39486
1,CP,12,1990,1.7,1,1,1,1,"",$3251,39489
1,CP,12,1990,1.7,1,1,1,1,"",$20439,39532
1,CP,12,1990,1.7,1,1,1,1,"",$5688,39536
1,CP,12,1990,1.7,1,1,1,1,"",$20673,39548
1,CP,12,1990,1.7,1,1,1,1,"",$42110,39569
1,CP,12,1990,1.7,1,1,1,1,"",$10824,39590
1,CP,12,1990,1.7,1,1,1,1,"",$8421,39610
1,CP,12,1990,1.7,1,1,1,1,"",$10751,39611
1,CP,12,1990,1.7,1,1,1,1,"",$9193,39628
1,CP,12,1990,1.7,1,1,1,1,"",$38934,39639
1,CP,12,1990,1.7,1,1,1,1,"",$5917,39665
1,CP,12,1990,1.7,1,1,1,1,"",$140346,39698
1,CP,12,1990,1.7,1,1,1,1,"",$26672,39735
1,CP,12,1990,1.7,1,1,1,1,"",$6286,39752
1,CP,12,1990,1.7,1,1,1,1,"",$3600,39756
1,CP,12,1990,1.7,1,1,1,1,"",$6192,39768
1,CP,12,1990,1.7,1,1,1,1,"",$8712,39774
1,CP,12,1990,1.7,1,1,1,1,"",$7269,39819
1,CP,12,1990,1.7,1,1,1,1,"",$37502,39837
1,CP,12,1990,1.7,1,1,1,1,"",$87044,39870
1,CP,12,1990,1.7,1,1,1,1,"",$40247,39884
1,CP,12,1990,1.7,1,1,1,1,"",$5755,39926
1,CP,12,1990,1.7,1,1,1,1,"",$6772,39971
1,CP,12,1990,1.7,1,1,1,1,"",$20107,39991
1,CP,12,1990,1.7,1,1,1,1,"",$27250,40005
1,CP,12,1990,1.7,1,1,1,1,"",$117842,40006
1,CP,12,1990,1.7,1,1,1,1,"",$3454,40017
1,CP,12,1990,1.7,1,1,1,1,"",$3102,40021
1,CP,12,1990,1.7,1,1,1,1,"",$4655,40111
1,CP,12,1990,1.7,1,1,1,1,"",$42339,40161
1,CP,12,1990,1.7,1,1,1,1,"",$30910,40242
